accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR18911001	SRP276100	new	PRJNA650381	SAMN27761660	IDR1900037113-01-01	A154	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900037113-01-01_R1.fastq.gz	IDR1900037113-01-01_R2.fastq.gz				
SRR18911000	SRP276100	new	PRJNA650381	SAMN27761661	IDR1900037114-01-01	A155	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900037114-01-01_R1.fastq.gz	IDR1900037114-01-01_R2.fastq.gz				
SRR18910999	SRP276100	new	PRJNA650381	SAMN27761662	IDR1900037115-01-01	A156	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900037115-01-01_R1.fastq.gz	IDR1900037115-01-01_R2.fastq.gz				
SRR18910998	SRP276100	new	PRJNA650381	SAMN27761663	IDR1900037116-01-01	A157	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900037116-01-01_R1.fastq.gz	IDR1900037116-01-01_R2.fastq.gz				
SRR18910997	SRP276100	new	PRJNA650381	SAMN27761664	IDR1900037117-01-01	A158	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900037117-01-01_R1.fastq.gz	IDR1900037117-01-01_R2.fastq.gz				
SRR18910996	SRP276100	new	PRJNA650381	SAMN27761665	IDR1900037119-01-01	A159	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900037119-01-01_R1.fastq.gz	IDR1900037119-01-01_R2.fastq.gz				
SRR18910995	SRP276100	new	PRJNA650381	SAMN27761666	IDR1900037122-01-01	A160	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900037122-01-01_R1.fastq.gz	IDR1900037122-01-01_R2.fastq.gz				
SRR18910994	SRP276100	new	PRJNA650381	SAMN27761667	IDR1900037123-01-01	A161	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900037123-01-01_R1.fastq.gz	IDR1900037123-01-01_R2.fastq.gz				
SRR18910993	SRP276100	new	PRJNA650381	SAMN27761668	IDR1900037125-01-01	A162	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900037125-01-01_R1.fastq.gz	IDR1900037125-01-01_R2.fastq.gz				
SRR18912078	SRP276100	new	PRJNA650381	SAMN27763620	IDR1900037126-01-01	A163	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900037126-01-01_R1.fastq.gz	IDR1900037126-01-01_R2.fastq.gz				
SRR18912077	SRP276100	new	PRJNA650381	SAMN27763621	IDR1900037240-01-02	A164	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900037240-01-02_R1.fastq.gz	IDR1900037240-01-02_R2.fastq.gz				
SRR18912067	SRP276100	new	PRJNA650381	SAMN27763622	IDR1900037451-01-02	A165	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900037451-01-02_R1.fastq.gz	IDR1900037451-01-02_R2.fastq.gz				
SRR18912066	SRP276100	new	PRJNA650381	SAMN27763623	IDR1900037785-01-01	A166	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900037785-01-01_R1.fastq.gz	IDR1900037785-01-01_R2.fastq.gz				
SRR18912065	SRP276100	new	PRJNA650381	SAMN27763624	IDR1900037786-01-01	A167	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900037786-01-01_R1.fastq.gz	IDR1900037786-01-01_R2.fastq.gz				
SRR18912064	SRP276100	new	PRJNA650381	SAMN27763625	IDR1900038337-01-02	A29	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900038337-01-02_R1.fastq.gz	IDR1900038337-01-02_R2.fastq.gz				
SRR18912063	SRP276100	new	PRJNA650381	SAMN27763626	IDR1900038438-01-01	A168	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900038438-01-01_R1.fastq.gz	IDR1900038438-01-01_R2.fastq.gz				
SRR18912062	SRP276100	new	PRJNA650381	SAMN27763627	IDR1900038441-01-01	A169	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900038441-01-01_R1.fastq.gz	IDR1900038441-01-01_R2.fastq.gz				
SRR18912061	SRP276100	new	PRJNA650381	SAMN27763628	IDR1900038442-01-01	A170	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900038442-01-01_R1.fastq.gz	IDR1900038442-01-01_R2.fastq.gz				
SRR18912060	SRP276100	new	PRJNA650381	SAMN27763629	IDR1900038443-01-01	A171	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900038443-01-01_R1.fastq.gz	IDR1900038443-01-01_R2.fastq.gz				
SRR18912076	SRP276100	new	PRJNA650381	SAMN27763630	IDR1900038444-01-01	A172	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900038444-01-01_R1.fastq.gz	IDR1900038444-01-01_R2.fastq.gz				
SRR18912075	SRP276100	new	PRJNA650381	SAMN27763631	IDR1900038448-01-01	A173	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900038448-01-01_R1.fastq.gz	IDR1900038448-01-01_R2.fastq.gz				
SRR18912074	SRP276100	new	PRJNA650381	SAMN27763632	IDR1900038454-01-02	A30	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900038454-01-02_R1.fastq.gz	IDR1900038454-01-02_R2.fastq.gz				
SRR18912073	SRP276100	new	PRJNA650381	SAMN27763633	IDR1900038456-01-01	A174	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900038456-01-01_R1.fastq.gz	IDR1900038456-01-01_R2.fastq.gz				
SRR18912072	SRP276100	new	PRJNA650381	SAMN27763634	IDR1900039311-01-02	A31	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900039311-01-02_R1.fastq.gz	IDR1900039311-01-02_R2.fastq.gz				
SRR18912071	SRP276100	new	PRJNA650381	SAMN27763635	IDR1900039313-01-02	A42	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900039313-01-02_R1.fastq.gz	IDR1900039313-01-02_R2.fastq.gz				
SRR18912070	SRP276100	new	PRJNA650381	SAMN27763636	IDR1900039537-01-02	A32	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900039537-01-02_R1.fastq.gz	IDR1900039537-01-02_R2.fastq.gz				
SRR18912069	SRP276100	new	PRJNA650381	SAMN27763637	IDR1900039793-01-01	A175	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900039793-01-01_R1.fastq.gz	IDR1900039793-01-01_R2.fastq.gz				
SRR18912068	SRP276100	new	PRJNA650381	SAMN27763638	IDR1900039794-01-01	A176	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900039794-01-01_R1.fastq.gz	IDR1900039794-01-01_R2.fastq.gz				
SRR18911138	SRP276100	new	PRJNA650381	SAMN27761761	IDR1900039795-01-01	A177	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900039795-01-01_R1.fastq.gz	IDR1900039795-01-01_R2.fastq.gz				
SRR18911137	SRP276100	new	PRJNA650381	SAMN27761762	IDR1900039798-01-01	A178	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900039798-01-01_R1.fastq.gz	IDR1900039798-01-01_R2.fastq.gz				
SRR18911126	SRP276100	new	PRJNA650381	SAMN27761763	IDR1900039816-01-01	A179	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900039816-01-01_R1.fastq.gz	IDR1900039816-01-01_R2.fastq.gz				
SRR18911125	SRP276100	new	PRJNA650381	SAMN27761764	IDR1900039822-01-01	A180	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900039822-01-01_R1.fastq.gz	IDR1900039822-01-01_R2.fastq.gz				
SRR18911124	SRP276100	new	PRJNA650381	SAMN27761765	IDR1900039836-01-01	A181	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900039836-01-01_R1.fastq.gz	IDR1900039836-01-01_R2.fastq.gz				
SRR18911123	SRP276100	new	PRJNA650381	SAMN27761766	IDR1900039991-01-01	A182	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900039991-01-01_R1.fastq.gz	IDR1900039991-01-01_R2.fastq.gz				
SRR18911122	SRP276100	new	PRJNA650381	SAMN27761767	IDR1900040171-01-02	A44	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900040171-01-02_R1.fastq.gz	IDR1900040171-01-02_R2.fastq.gz				
SRR18911121	SRP276100	new	PRJNA650381	SAMN27761768	IDR1900040259-01-01	A33	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900040259-01-01_R1.fastq.gz	IDR1900040259-01-01_R2.fastq.gz				
SRR18911120	SRP276100	new	PRJNA650381	SAMN27761769	IDR1900040261-01-01	A34	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900040261-01-01_R1.fastq.gz	IDR1900040261-01-01_R2.fastq.gz				
SRR18911119	SRP276100	new	PRJNA650381	SAMN27761770	IDR1900040262-01-01	A35	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900040262-01-01_R1.fastq.gz	IDR1900040262-01-01_R2.fastq.gz				
SRR18911136	SRP276100	new	PRJNA650381	SAMN27761771	IDR1900040337-01-02	A183	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900040337-01-02_R1.fastq.gz	IDR1900040337-01-02_R2.fastq.gz				
SRR18911135	SRP276100	new	PRJNA650381	SAMN27761772	IDR1900040338-01-02	A184	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900040338-01-02_R1.fastq.gz	IDR1900040338-01-02_R2.fastq.gz				
SRR18911134	SRP276100	new	PRJNA650381	SAMN27761773	IDR1900040771-01-02	A45	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900040771-01-02_R1.fastq.gz	IDR1900040771-01-02_R2.fastq.gz				
SRR18911133	SRP276100	new	PRJNA650381	SAMN27761774	IDR1900040773-01-01	A36	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900040773-01-01_R1.fastq.gz	IDR1900040773-01-01_R2.fastq.gz				
SRR18911132	SRP276100	new	PRJNA650381	SAMN27761775	IDR1900040881-01-01	A37	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900040881-01-01_R1.fastq.gz	IDR1900040881-01-01_R2.fastq.gz				
SRR18911131	SRP276100	new	PRJNA650381	SAMN27761776	IDR1900040882-01-01	A38	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900040882-01-01_R1.fastq.gz	IDR1900040882-01-01_R2.fastq.gz				
SRR18911130	SRP276100	new	PRJNA650381	SAMN27761777	IDR1900040884-01-01	A39	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900040884-01-01_R1.fastq.gz	IDR1900040884-01-01_R2.fastq.gz				
SRR18911129	SRP276100	new	PRJNA650381	SAMN27761778	IDR1900040887-01-01	A40	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900040887-01-01_R1.fastq.gz	IDR1900040887-01-01_R2.fastq.gz				
SRR18911128	SRP276100	new	PRJNA650381	SAMN27761779	IDR1900040953-01-01	A41	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900040953-01-01_R1.fastq.gz	IDR1900040953-01-01_R2.fastq.gz				
SRR18911127	SRP276100	new	PRJNA650381	SAMN27761780	IDR1900040955-01-02	A185	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900040955-01-02_R1.fastq.gz	IDR1900040955-01-02_R2.fastq.gz				
SRR18911245	SRP276100	new	PRJNA650381	SAMN27762218	IDR1900041109-01-02	A186	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900041109-01-02_R1.fastq.gz	IDR1900041109-01-02_R2.fastq.gz				
SRR18911244	SRP276100	new	PRJNA650381	SAMN27762219	IDR1900041114-01-02	A187	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900041114-01-02_R1.fastq.gz	IDR1900041114-01-02_R2.fastq.gz				
SRR18911233	SRP276100	new	PRJNA650381	SAMN27762220	IDR1900041133-01-02	A188	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900041133-01-02_R1.fastq.gz	IDR1900041133-01-02_R2.fastq.gz				
SRR18911232	SRP276100	new	PRJNA650381	SAMN27762221	IDR1900041853-01-01	A46	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900041853-01-01_R1.fastq.gz	IDR1900041853-01-01_R2.fastq.gz				
SRR18911231	SRP276100	new	PRJNA650381	SAMN27762222	IDR1900041866-01-01	A47	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900041866-01-01_R1.fastq.gz	IDR1900041866-01-01_R2.fastq.gz				
SRR18911230	SRP276100	new	PRJNA650381	SAMN27762223	IDR1900042202-01-01	A48	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900042202-01-01_R1.fastq.gz	IDR1900042202-01-01_R2.fastq.gz				
SRR18911229	SRP276100	new	PRJNA650381	SAMN27762224	IDR1900042241-01-01	A79	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900042241-01-01_R1.fastq.gz	IDR1900042241-01-01_R2.fastq.gz				
SRR18911228	SRP276100	new	PRJNA650381	SAMN27762225	IDR1900042437-01-01	A49	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900042437-01-01_R1.fastq.gz	IDR1900042437-01-01_R2.fastq.gz				
SRR18911227	SRP276100	new	PRJNA650381	SAMN27762226	IDR1900042440-01-01	A50	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900042440-01-01_R1.fastq.gz	IDR1900042440-01-01_R2.fastq.gz				
SRR18911226	SRP276100	new	PRJNA650381	SAMN27762227	IDR1900042441-01-01	A51	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900042441-01-01_R1.fastq.gz	IDR1900042441-01-01_R2.fastq.gz				
SRR18911243	SRP276100	new	PRJNA650381	SAMN27762228	IDR1900042441-01-02	A189	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900042441-01-02_R1.fastq.gz	IDR1900042441-01-02_R2.fastq.gz				
SRR18911242	SRP276100	new	PRJNA650381	SAMN27762229	IDR1900042443-01-01	A52	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900042443-01-01_R1.fastq.gz	IDR1900042443-01-01_R2.fastq.gz				
SRR18911241	SRP276100	new	PRJNA650381	SAMN27762230	IDR1900042447-01-01	A53	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900042447-01-01_R1.fastq.gz	IDR1900042447-01-01_R2.fastq.gz				
SRR18911240	SRP276100	new	PRJNA650381	SAMN27762231	IDR1900042879-01-01	A190	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900042879-01-01_R1.fastq.gz	IDR1900042879-01-01_R2.fastq.gz				
SRR18911239	SRP276100	new	PRJNA650381	SAMN27762232	IDR1900042880-01-01	A191	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900042880-01-01_R1.fastq.gz	IDR1900042880-01-01_R2.fastq.gz				
SRR18911238	SRP276100	new	PRJNA650381	SAMN27762233	IDR1900042928-01-02	A80	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900042928-01-02_R1.fastq.gz	IDR1900042928-01-02_R2.fastq.gz				
SRR18911237	SRP276100	new	PRJNA650381	SAMN27762234	IDR1900043150-01-01	A192	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043150-01-01_R1.fastq.gz	IDR1900043150-01-01_R2.fastq.gz				
SRR18911236	SRP276100	new	PRJNA650381	SAMN27762235	IDR1900043161-01-02	A81	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043161-01-02_R1.fastq.gz	IDR1900043161-01-02_R2.fastq.gz				
SRR18911235	SRP276100	new	PRJNA650381	SAMN27762236	IDR1900043284-01-01	A193	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043284-01-01_R1.fastq.gz	IDR1900043284-01-01_R2.fastq.gz				
SRR18911234	SRP276100	new	PRJNA650381	SAMN27762237	IDR1900043323-01-01	A194	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043323-01-01_R1.fastq.gz	IDR1900043323-01-01_R2.fastq.gz				
SRR18911467	SRP276100	new	PRJNA650381	SAMN27762524	IDR1900043324-01-01	A195	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043324-01-01_R1.fastq.gz	IDR1900043324-01-01_R2.fastq.gz				
SRR18911466	SRP276100	new	PRJNA650381	SAMN27762525	IDR1900043326-01-01	A196	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043326-01-01_R1.fastq.gz	IDR1900043326-01-01_R2.fastq.gz				
SRR18911455	SRP276100	new	PRJNA650381	SAMN27762526	IDR1900043328-01-01	A197	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043328-01-01_R1.fastq.gz	IDR1900043328-01-01_R2.fastq.gz				
SRR18911454	SRP276100	new	PRJNA650381	SAMN27762527	IDR1900043370-01-01	A198	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043370-01-01_R1.fastq.gz	IDR1900043370-01-01_R2.fastq.gz				
SRR18911453	SRP276100	new	PRJNA650381	SAMN27762528	IDR1900043656-01-01	A199	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043656-01-01_R1.fastq.gz	IDR1900043656-01-01_R2.fastq.gz				
SRR18911452	SRP276100	new	PRJNA650381	SAMN27762529	IDR1900043657-01-01	A200	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043657-01-01_R1.fastq.gz	IDR1900043657-01-01_R2.fastq.gz				
SRR18911451	SRP276100	new	PRJNA650381	SAMN27762530	IDR1900043658-01-01	A201	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043658-01-01_R1.fastq.gz	IDR1900043658-01-01_R2.fastq.gz				
SRR18911450	SRP276100	new	PRJNA650381	SAMN27762531	IDR1900043659-01-01	A202	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043659-01-01_R1.fastq.gz	IDR1900043659-01-01_R2.fastq.gz				
SRR18911449	SRP276100	new	PRJNA650381	SAMN27762532	IDR1900043661-01-01	A203	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043661-01-01_R1.fastq.gz	IDR1900043661-01-01_R2.fastq.gz				
SRR18911448	SRP276100	new	PRJNA650381	SAMN27762533	IDR1900043663-01-01	A204	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043663-01-01_R1.fastq.gz	IDR1900043663-01-01_R2.fastq.gz				
SRR18911465	SRP276100	new	PRJNA650381	SAMN27762534	IDR1900043664-01-01	A205	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043664-01-01_R1.fastq.gz	IDR1900043664-01-01_R2.fastq.gz				
SRR18911464	SRP276100	new	PRJNA650381	SAMN27762535	IDR1900043665-01-01	A206	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043665-01-01_R1.fastq.gz	IDR1900043665-01-01_R2.fastq.gz				
SRR18911463	SRP276100	new	PRJNA650381	SAMN27762536	IDR1900043666-01-01	A207	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043666-01-01_R1.fastq.gz	IDR1900043666-01-01_R2.fastq.gz				
SRR18911462	SRP276100	new	PRJNA650381	SAMN27762537	IDR1900043667-01-01	A208	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043667-01-01_R1.fastq.gz	IDR1900043667-01-01_R2.fastq.gz				
SRR18911461	SRP276100	new	PRJNA650381	SAMN27762538	IDR1900043668-01-01	A209	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043668-01-01_R1.fastq.gz	IDR1900043668-01-01_R2.fastq.gz				
SRR18911460	SRP276100	new	PRJNA650381	SAMN27762539	IDR1900043669-01-01	A210	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043669-01-01_R1.fastq.gz	IDR1900043669-01-01_R2.fastq.gz				
SRR18911459	SRP276100	new	PRJNA650381	SAMN27762540	IDR1900043671-01-01	A211	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043671-01-01_R1.fastq.gz	IDR1900043671-01-01_R2.fastq.gz				
SRR18911458	SRP276100	new	PRJNA650381	SAMN27762541	IDR1900043673-01-01	A212	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043673-01-01_R1.fastq.gz	IDR1900043673-01-01_R2.fastq.gz				
SRR18911457	SRP276100	new	PRJNA650381	SAMN27762542	IDR1900043675-01-01	A213	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043675-01-01_R1.fastq.gz	IDR1900043675-01-01_R2.fastq.gz				
SRR18911456	SRP276100	new	PRJNA650381	SAMN27762543	IDR1900043676-01-01	A214	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043676-01-01_R1.fastq.gz	IDR1900043676-01-01_R2.fastq.gz				
SRR18911570	SRP276100	new	PRJNA650381	SAMN27762745	IDR1900043677-01-01	A215	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043677-01-01_R1.fastq.gz	IDR1900043677-01-01_R2.fastq.gz				
SRR18911569	SRP276100	new	PRJNA650381	SAMN27762746	IDR1900043814-01-01	A82	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043814-01-01_R1.fastq.gz	IDR1900043814-01-01_R2.fastq.gz				
SRR18911558	SRP276100	new	PRJNA650381	SAMN27762747	IDR1900043815-01-01	A83	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900043815-01-01_R1.fastq.gz	IDR1900043815-01-01_R2.fastq.gz				
SRR18911557	SRP276100	new	PRJNA650381	SAMN27762748	IDR1900044046-01-01	A84	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900044046-01-01_R1.fastq.gz	IDR1900044046-01-01_R2.fastq.gz				
